,Unnamed: 0,Temperature,Humidity Sensor,UUT1_I_S1,UUT1_I_S2,UUT1_I_S3,UUT1_I_S4,UUT2_I_S1,UUT2_I_S2,UUT2_I_S3,UUT2_I_S4,UUT3_I_S1,UUT3_I_S2,UUT3_I_S3,UUT3_I_S4,FinalConcAcetone,FinalConcCO,FinalConcEtOH
1449499.0,1449499.0,25.0,39.998741,5.114583333333333e-09,2.583333333333333e-09,3.317708333333333e-09,-1.6484375e-09,-1.8619791666666667e-09,-5.221354166666667e-09,7.640625e-09,-2.3515625e-09,3.2421875e-09,-3.033854166666667e-09,-3.3984374999999997e-09,-6.559895833333332e-09,7.34571315114709,2.83302807145988,115.181713063567
1449500.0,1449500.0,25.0,39.998741,4.583333333333334e-09,1.6901041666666662e-09,2.869791666666667e-09,-1.8125e-09,-2.455729166666667e-09,-5.950520833333334e-09,7.341145833333333e-09,-2.825520833333333e-09,2.622395833333333e-09,-4.171875e-09,-3.924479166666667e-09,-6.7161458333333344e-09,9.0656037672649,5.43020019213987,64.3768064103112
1449501.0,1449501.0,25.0,39.998741,3.851562500000001e-09,6.953125e-10,2.455729166666667e-09,-2.174479166666667e-09,-0.000000003,-6.729166666666666e-09,7.057291666666666e-09,-2.947916666666667e-09,1.8567708333333327e-09,-5.200520833333334e-09,-4.3203125e-09,-7.0234375e-09,7.86383370111686,3.73480303620536,19.6404059836497
1449502.0,1449502.0,25.0,39.998741,3.291666666666667e-09,-4.1666666666666665e-11,2.0260416666666672e-09,-2.4765625000000004e-09,-3.380208333333333e-09,-7.2578125e-09,6.804687500000001e-09,-3.28125e-09,1.4479166666666662e-09,-5.9609375e-09,-4.638020833333334e-09,-7.1041666666666674e-09,2.621252758801,9.26633884609115,58.8198259408867
1449503.0,1449503.0,25.0,39.998741,3.890625e-09,9.0625e-10,2.473958333333333e-09,-2.0963541666666667e-09,-2.947916666666667e-09,-6.640625000000001e-09,7.013020833333333e-09,-2.966145833333333e-09,2.098958333333333e-09,-5.067708333333333e-09,-4.302083333333333e-09,-6.9348958333333335e-09,4.22506487295455,1.54082945961401,63.3771348236216
1449504.0,1449504.0,25.0,39.998741,4.692708333333334e-09,2.0572916666666667e-09,2.927083333333333e-09,-1.75e-09,-2.3515625e-09,-5.627604166666667e-09,7.4375e-09,-2.7135416666666664e-09,2.833333333333333e-09,-4.0156250000000014e-09,-3.755208333333334e-09,-6.653645833333334e-09,7.10258278477303,1.2559885372502,188.345996142976
1449505.0,1449505.0,25.0,39.998741,5.682291666666667e-09,3.458333333333333e-09,3.7005208333333325e-09,-1.4140625000000002e-09,-1.2838541666666667e-09,-4.533854166666667e-09,8.013020833333334e-09,-2.046875e-09,3.888020833333334e-09,-2.346354166666667e-09,-3.1744791666666662e-09,-6.2890625e-09,2.64541368507406,7.40310252945791,191.75568578424
1449506.0,1449506.0,25.0,39.998741,6.973958333333335e-09,5.5234375000000006e-09,4.59375e-09,-1.1015624999999994e-09,-5.208333333333331e-10,-2.9322916666666667e-09,8.539062500000001e-09,-1.6692708333333335e-09,5.221354166666667e-09,-4.140625e-10,-2.3515625e-09,-5.924479166666667e-09,0.509945090479126,4.64625475108825,62.5448191029919
1449507.0,1449507.0,25.0,39.998741,8.486979166666668e-09,7.723958333333334e-09,5.549479166666667e-09,-5.46875e-10,6.901041666666664e-10,-1.0807291666666667e-09,9.348958333333334e-09,-1.1302083333333331e-09,6.966145833333333e-09,2.122395833333333e-09,-1.2630208333333332e-09,-5.447916666666667e-09,5.21482732620725,5.70734717722664,72.4056150070498
1449508.0,1449508.0,25.0,39.998741,1.04609375e-08,1.07578125e-08,6.760416666666666e-09,9.375e-11,2.114583333333332e-09,1.28125e-09,1.0354166666666666e-08,-4.895833333333334e-10,8.934895833333334e-09,5.1979166666666665e-09,-1.3020833333333335e-11,-4.838541666666667e-09,2.79085982297007,6.91202270596576,130.147176881129
1449509.0,1449509.0,25.0,39.998741,1.2875e-08,1.4653645833333332e-08,8.484375000000002e-09,9.609375e-10,3.981770833333333e-09,4.526041666666667e-09,1.1609375e-08,3.59375e-10,1.1403645833333334e-08,9.28125e-09,1.5937499999999994e-09,-4.122395833333333e-09,5.33508071588018,8.80566241581427,140.075417645214
