,Temperature,Humidity Sensor,CO,HCHO,EtOH,UUT1_I_S1,UUT1_I_S2,UUT1_I_S3,UUT1_I_S4,UUT2_I_S1,UUT2_I_S2,UUT2_I_S3,UUT2_I_S4,UUT3_I_S1,UUT3_I_S2,UUT3_I_S3,UUT3_I_S4,Gaz warning
34798,25.0,39.982338,465.255,0.071,13.445,3.971174479166667e-05,7.2473046875e-05,3.2094921875000004e-05,1.5228098958333334e-05,2.888565104166667e-05,5.1011276041666674e-05,2.9111770833333337e-05,1.2269479166666667e-05,3.575796875e-05,6.286229166666667e-05,3.8681302083333335e-05,1.666760416666667e-05,0.0
34799,25.0,39.982338,465.255,0.071,13.445,4.1453203125e-05,7.561223958333334e-05,3.3756614583333335e-05,1.5891249999999998e-05,3.0226822916666662e-05,5.338611979166667e-05,3.064799479166667e-05,1.2875625000000001e-05,3.7317213541666665e-05,6.568760416666667e-05,4.059528645833334e-05,1.7501458333333333e-05,0.0
34800,25.0,39.982338,465.255,0.071,13.445,4.317161458333334e-05,7.868239583333333e-05,3.5395078125e-05,1.660796875e-05,3.157348958333334e-05,5.5734322916666665e-05,3.2108203125e-05,1.3495677083333333e-05,3.8879609375e-05,6.851859375e-05,4.244778645833334e-05,1.8235182291666666e-05,0.0
34801,25.0,39.982338,465.255,0.071,13.445,4.4824348958333336e-05,8.175369791666667e-05,3.699018229166667e-05,1.7345104166666667e-05,3.28715625e-05,5.807252604166667e-05,3.357955729166667e-05,1.4079114583333336e-05,4.04165625e-05,7.124916666666667e-05,4.4268515625e-05,1.9021197916666667e-05,0.0
34802,25.0,39.982338,465.255,0.071,13.445,4.6561015625e-05,8.4853828125e-05,3.8603567708333336e-05,1.8059583333333336e-05,3.4200078125000004e-05,6.0465234375e-05,3.5107109375000005e-05,1.4681692708333335e-05,4.204830729166667e-05,7.404013020833334e-05,4.6144765625e-05,1.9853125e-05,0.0
34803,25.0,39.982338,465.255,0.071,13.445,4.825255208333333e-05,8.793117187500001e-05,4.024005208333334e-05,1.8778333333333333e-05,3.552919270833333e-05,6.2902734375e-05,3.658239583333333e-05,1.5324661458333332e-05,4.3630859375e-05,7.696174479166666e-05,4.8056067708333334e-05,2.066541666666667e-05,0.0
34804,25.0,39.982338,465.255,0.071,13.445,4.9963098958333324e-05,9.097619791666668e-05,4.188231770833333e-05,1.9537708333333336e-05,3.6870963541666665e-05,6.533046875e-05,3.8156171874999996e-05,1.5964401041666667e-05,4.5253984375e-05,7.975166666666667e-05,4.995744791666667e-05,2.1486145833333335e-05,0.0
34805,25.0,39.982338,465.255,0.071,13.445,5.1742916666666666e-05,9.411625000000001e-05,4.352856770833333e-05,2.0272031250000002e-05,3.827049479166667e-05,6.782848958333333e-05,3.974223958333333e-05,1.663229166666667e-05,4.689802083333333e-05,8.264085937500002e-05,5.191356770833333e-05,2.234846354166667e-05,0.0
34806,25.0,39.982338,465.255,0.071,13.445,5.346776041666667e-05,9.727315104166667e-05,4.5176145833333334e-05,2.1018515624999997e-05,3.9658307291666666e-05,7.0407265625e-05,4.135755208333333e-05,1.7300703125e-05,4.851666666666667e-05,8.552859375000001e-05,5.384984375e-05,2.3188489583333332e-05,0.0
34807,25.0,39.982338,465.255,0.071,13.445,5.5184322916666665e-05,0.00010036890625000001,4.6846744791666666e-05,2.1810755208333332e-05,4.1010130208333335e-05,7.299453125e-05,4.298125e-05,1.7983828125e-05,5.018596354166666e-05,8.847093750000002e-05,5.5868750000000006e-05,2.4063567708333336e-05,0.0
34808,25.0,39.982338,465.255,0.071,13.445,5.687322916666667e-05,0.00010349263020833334,4.8551614583333325e-05,2.259315104166667e-05,4.2369010416666675e-05,7.566307291666667e-05,4.463958333333333e-05,1.8687604166666666e-05,5.187596354166667e-05,9.142744791666667e-05,5.7877578124999996e-05,2.495026041666667e-05,0.0
34809,25.0,39.982338,465.255,0.071,13.445,5.858388020833333e-05,0.00010664346354166667,5.025921875e-05,2.3396822916666668e-05,4.378471354166666e-05,7.834015625e-05,4.6362135416666664e-05,1.9412864583333335e-05,5.3493307291666665e-05,9.447885416666666e-05,5.997317708333333e-05,2.5849010416666667e-05,0.0
34810,25.0,39.982338,465.255,0.071,13.445,6.0286223958333336e-05,0.00010976651041666667,5.198986979166666e-05,2.4243177083333333e-05,4.524044270833334e-05,8.107026041666666e-05,4.8108125e-05,2.0158723958333338e-05,5.5257213541666666e-05,9.762736979166667e-05,6.203294270833333e-05,2.6754166666666665e-05,0.0
34811,25.0,39.982338,465.255,0.071,13.445,6.200835937500001e-05,0.00011285307291666668,5.3737005208333335e-05,2.5040651041666667e-05,4.6607083333333326e-05,8.376020833333334e-05,4.9862291666666674e-05,2.0890703125e-05,5.69253125e-05,0.00010071546875,6.417651041666667e-05,2.7702213541666666e-05,0.0
34812,25.0,39.982338,465.255,0.071,13.445,6.367661458333334e-05,0.00011588078125,5.5529713541666674e-05,2.589859375e-05,4.7988333333333336e-05,8.648489583333334e-05,5.166244791666666e-05,2.1652213541666668e-05,5.8602135416666676e-05,0.00010381750000000001,6.626210937500001e-05,2.8633776041666667e-05,0.0
34813,25.0,39.982338,465.255,0.071,13.445,6.531067708333334e-05,0.00011891643229166667,5.7268489583333334e-05,2.6706718750000003e-05,4.9409322916666674e-05,8.919195312500001e-05,5.345328125e-05,2.2420833333333334e-05,6.0242083333333334e-05,0.00010689333333333334,6.846111979166667e-05,2.9567161458333336e-05,0.0
34814,25.0,39.982338,465.255,0.071,13.445,6.686078125e-05,0.00012179416666666667,5.9063411458333334e-05,2.753924479166667e-05,5.0723515625e-05,9.19034375e-05,5.525447916666667e-05,2.3146692708333333e-05,6.184260416666667e-05,0.00011001354166666667,7.063197916666666e-05,3.0488984375e-05,0.0
34815,25.0,39.982338,465.255,0.071,13.445,6.840799479166667e-05,0.00012461760416666666,6.07928125e-05,2.835322916666667e-05,5.207203125e-05,9.456031250000001e-05,5.7071770833333344e-05,2.3913255208333334e-05,6.346833333333333e-05,0.00011306265625,7.280499999999999e-05,3.1443593749999996e-05,0.0
34816,25.0,39.982338,465.255,0.071,13.445,6.98703125e-05,0.00012733192708333336,6.2606484375e-05,2.9180286458333337e-05,5.3376145833333336e-05,9.714890625e-05,5.888041666666667e-05,2.4688359375000005e-05,6.503549479166667e-05,0.000116041328125,7.4981875e-05,3.241567708333333e-05,0.0
34817,25.0,39.982338,465.255,0.071,13.445,7.1195234375e-05,0.000129895859375,6.4344296875e-05,2.996619791666667e-05,5.463377604166667e-05,9.966986979166665e-05,6.065502604166667e-05,2.5474817708333334e-05,6.6557265625e-05,0.00011902221354166668,7.717236979166667e-05,3.3395833333333336e-05,0.0
34818,25.0,39.982338,465.255,0.071,13.445,7.24815625e-05,0.000132353125,6.601518229166668e-05,3.073515625e-05,5.584361979166666e-05,0.00010217130208333333,6.249302083333334e-05,2.6220703125000002e-05,6.81109375e-05,0.00012197109374999999,7.927861979166667e-05,3.431369791666667e-05,0.0
34819,25.0,39.982338,465.255,0.071,13.445,7.369208333333333e-05,0.00013468312499999999,6.773591145833334e-05,3.1512239583333335e-05,5.7008619791666666e-05,0.00010453640625,6.424984375e-05,2.6941536458333337e-05,6.950372395833333e-05,0.00012478122395833332,8.14071875e-05,3.520606770833334e-05,0.0
