,Temperature,Humidity Sensor,CO,HCHO,EtOH,UUT1_I_S1,UUT1_I_S2,UUT1_I_S3,UUT1_I_S4,UUT2_I_S1,UUT2_I_S2,UUT2_I_S3,UUT2_I_S4,UUT3_I_S1,UUT3_I_S2,UUT3_I_S3,UUT3_I_S4,Gaz warning
1,25.0,39.982338,465.255,0.071,13.445,3.971174479166667e-05,7.2473046875e-05,3.2094921875000004e-05,1.5228098958333334e-05,2.888565104166667e-05,5.1011276041666674e-05,2.9111770833333337e-05,1.2269479166666667e-05,3.575796875e-05,6.286229166666667e-05,3.8681302083333335e-05,1.666760416666667e-05,0.0
2,25.0,39.982338,465.255,0.071,13.445,4.1453203125e-05,7.561223958333334e-05,3.3756614583333335e-05,1.5891249999999998e-05,3.0226822916666662e-05,5.338611979166667e-05,3.064799479166667e-05,1.2875625000000001e-05,3.7317213541666665e-05,6.568760416666667e-05,4.059528645833334e-05,1.7501458333333333e-05,0.0
3,25.0,39.982338,465.255,0.071,13.445,4.317161458333334e-05,7.868239583333333e-05,3.5395078125e-05,1.660796875e-05,3.157348958333334e-05,5.5734322916666665e-05,3.2108203125e-05,1.3495677083333333e-05,3.8879609375e-05,6.851859375e-05,4.244778645833334e-05,1.8235182291666666e-05,0.0
4,25.0,39.982338,465.255,0.071,13.445,4.4824348958333336e-05,8.175369791666667e-05,3.699018229166667e-05,1.7345104166666667e-05,3.28715625e-05,5.807252604166667e-05,3.357955729166667e-05,1.4079114583333336e-05,4.04165625e-05,7.124916666666667e-05,4.4268515625e-05,1.9021197916666667e-05,0.0
5,25.0,39.982338,465.255,0.071,13.445,4.6561015625e-05,8.4853828125e-05,3.8603567708333336e-05,1.8059583333333336e-05,3.4200078125000004e-05,6.0465234375e-05,3.5107109375000005e-05,1.4681692708333335e-05,4.204830729166667e-05,7.404013020833334e-05,4.6144765625e-05,1.9853125e-05,0.0
6,25.0,39.982338,465.255,0.071,13.445,4.825255208333333e-05,8.793117187500001e-05,4.024005208333334e-05,1.8778333333333333e-05,3.552919270833333e-05,6.2902734375e-05,3.658239583333333e-05,1.5324661458333332e-05,4.3630859375e-05,7.696174479166666e-05,4.8056067708333334e-05,2.066541666666667e-05,0.0
7,25.0,39.982338,465.255,0.071,13.445,4.9963098958333324e-05,9.097619791666668e-05,4.188231770833333e-05,1.9537708333333336e-05,3.6870963541666665e-05,6.533046875e-05,3.8156171874999996e-05,1.5964401041666667e-05,4.5253984375e-05,7.975166666666667e-05,4.995744791666667e-05,2.1486145833333335e-05,0.0
8,25.0,39.982338,465.255,0.071,13.445,5.1742916666666666e-05,9.411625000000001e-05,4.352856770833333e-05,2.0272031250000002e-05,3.827049479166667e-05,6.782848958333333e-05,3.974223958333333e-05,1.663229166666667e-05,4.689802083333333e-05,8.264085937500002e-05,5.191356770833333e-05,2.234846354166667e-05,0.0
9,25.0,39.982338,465.255,0.071,13.445,5.346776041666667e-05,9.727315104166667e-05,4.5176145833333334e-05,2.1018515624999997e-05,3.9658307291666666e-05,7.0407265625e-05,4.135755208333333e-05,1.7300703125e-05,4.851666666666667e-05,8.552859375000001e-05,5.384984375e-05,2.3188489583333332e-05,0.0
10,25.0,39.982338,465.255,0.071,13.445,5.5184322916666665e-05,0.00010036890625000001,4.6846744791666666e-05,2.1810755208333332e-05,4.1010130208333335e-05,7.299453125e-05,4.298125e-05,1.7983828125e-05,5.018596354166666e-05,8.847093750000002e-05,5.5868750000000006e-05,2.4063567708333336e-05,0.0
11,25.0,39.982338,465.255,0.071,13.445,5.687322916666667e-05,0.00010349263020833334,4.8551614583333325e-05,2.259315104166667e-05,4.2369010416666675e-05,7.566307291666667e-05,4.463958333333333e-05,1.8687604166666666e-05,5.187596354166667e-05,9.142744791666667e-05,5.7877578124999996e-05,2.495026041666667e-05,0.0
